Date,Open,High,Low,Close,Adj Close,Volume
2022-06-23,376.64,378.83,372.89,378.06,363.41,79292100
2022-06-22,370.62,378.72,370.18,374.39,359.88,90059400
2022-06-21,371.89,376.53,371.81,375.07,360.54,76811900
2022-06-17,1.58 Dividend,,,,,
2022-06-17,365.51,369.38,362.17,365.86,351.69,111113900
2022-06-16,370.51,370.94,364.08,366.65,350.93,134473300
2022-06-15,377.36,383.9,372.12,379.2,362.94,125666800
2022-06-14,376.85,377.94,370.59,373.87,357.84,104011800
2022-06-13,379.85,381.81,373.3,375,358.92,170004900
2022-06-10,394.88,395.78,389.75,389.8,373.09,132893900
2022-06-09,409.34,411.74,401.44,401.44,384.23,86289800
2022-06-08,413.93,415.82,410.38,411.22,393.59,64350000
2022-06-07,408.1,416.22,407.61,415.74,397.91,59272400
2022-06-06,414.78,416.61,410.55,411.79,394.13,57508900
2022-06-03,412.4,414.04,409.51,410.54,392.94,71874300
2022-06-02,409.42,417.44,407.04,417.39,399.49,79609600
2022-06-01,415.17,416.24,406.93,409.59,392.03,86585800
2022-05-31,413.55,416.46,410.03,412.93,395.22,95937000
2022-05-27,407.91,415.38,407.7,415.26,397.45,84768700
2022-05-26,398.67,407.04,398.45,405.31,387.93,82168300
2022-05-25,392.31,399.45,391.89,397.37,380.33,91472900
2022-05-24,392.56,395.15,386.96,393.89,377,91448800
2022-05-23,392.83,397.73,390.38,396.92,379.9,76414900
2022-05-20,393.25,397.03,380.54,389.63,372.92,131432200
2022-05-19,388.62,394.14,387.11,389.46,372.76,98510700
2022-05-18,403.5,403.8,390.55,391.86,375.06,117674500
2022-05-17,406.53,408.57,402.58,408.32,390.81,83029700
2022-05-16,399.98,403.97,397.6,400.09,382.93,78622400
2022-05-13,396.71,403.18,395.61,401.72,384.49,104174400
2022-05-12,389.37,395.8,385.15,392.34,375.52,125090800
2022-05-11,398.07,404.04,391.96,392.75,375.91,142361000
2022-05-10,404.49,406.08,394.82,399.09,381.98,132497200
2022-05-09,405.1,406.41,396.5,398.17,381.1,155586100
2022-05-06,411.1,414.8,405.73,411.34,393.7,151770800
2022-05-05,424.55,425,409.44,413.81,396.07,172929100
2022-05-04,417.08,429.66,413.71,429.06,410.66,144247900
2022-05-03,415.01,418.93,413.36,416.38,398.53,100028200
2022-05-02,412.07,415.92,405.02,414.48,396.71,158312500
2022-04-29,423.59,425.87,411.21,412,394.33,145491100
2022-04-28,422.29,429.64,417.6,427.81,409.47,105449100
2022-04-27,417.24,422.92,415.01,417.27,399.38,122030000
2022-04-26,425.83,426.04,416.07,416.1,398.26,103996300
2022-04-25,423.67,428.69,418.84,428.51,410.14,119647700
2022-04-22,436.91,438.08,425.44,426.04,407.77,132471800
2022-04-21,448.54,450.01,437.1,438.06,419.28,85417300
2022-04-20,446.92,447.57,443.48,444.71,425.64,65224400
2022-04-19,437.86,445.8,437.68,445.04,425.96,77821000
2022-04-18,436.81,439.75,435.61,437.97,419.19,66002500
2022-04-14,443.55,444.73,437.68,437.79,419.02,97869500
2022-04-13,438.03,444.11,437.84,443.31,424.3,74070400
2022-04-12,443.08,445.75,436.65,438.29,419.5,84363600
2022-04-11,444.11,445,439.39,439.92,421.06,89770500
2022-04-08,447.97,450.63,445.94,447.57,428.38,79272700
2022-04-07,445.59,450.69,443.53,448.77,429.53,78097200
2022-04-06,446.89,448.93,443.47,446.52,427.37,106898000
2022-04-05,455.22,457.83,449.82,451.03,431.69,74214500
2022-04-04,453.13,456.91,452.26,456.8,437.21,59601000
2022-04-01,453.31,453.46,449.14,452.92,433.5,89048800
2022-03-31,457.89,458.76,451.16,451.64,432.27,121699900
2022-03-30,460.34,461.2,456.47,458.7,439.03,79666900
2022-03-29,460.02,462.07,457.18,461.55,441.76,86581500
2022-03-28,452.06,455.91,450.06,455.91,436.36,68529800
2022-03-25,451.16,452.98,448.43,452.69,433.28,77101300
2022-03-24,445.94,450.5,444.76,450.49,431.17,64736900
2022-03-23,446.91,448.49,443.71,443.8,424.77,79426100
2022-03-22,445.86,450.58,445.86,449.59,430.31,74650400
2022-03-21,444.34,446.46,440.68,444.39,425.34,88349800
2022-03-18,1.37 Dividend,,,,,
2022-03-18,438,444.86,437.22,444.52,425.46,106345500
2022-03-17,433.59,441.07,433.19,441.07,420.85,102676900
2022-03-16,429.89,435.68,424.8,435.62,415.65,144954800
2022-03-15,419.77,426.84,418.42,426.17,406.63,106219100
2022-03-14,420.89,424.55,415.79,417,397.88,95729200
2022-03-11,428.12,428.77,419.53,420.07,400.81,95636300
2022-03-10,422.52,426.43,420.44,425.48,405.97,93972700
2022-03-09,425.14,429.51,422.82,427.41,407.82,116990800
2022-03-08,419.62,427.21,415.12,416.25,397.17,164772700
2022-03-07,431.55,432.3,419.36,419.43,400.2,137896600
2022-03-04,431.75,433.37,427.88,432.17,412.36,113978200
2022-03-03,440.47,441.11,433.8,435.71,415.74,105501700
2022-03-02,432.37,439.72,431.57,437.89,417.82,117726500
2022-03-01,435.04,437.17,427.11,429.98,410.27,137785900
2022-02-28,432.03,438.2,430.7,436.63,416.61,145615000
2022-02-25,429.61,437.84,427.86,437.75,417.68,121804500
2022-02-24,411.02,428.76,410.64,428.3,408.67,213942900
2022-02-23,432.66,433.26,421.35,421.95,402.61,132578000
2022-02-22,431.89,435.5,425.86,429.57,409.88,124391800
2022-02-18,437.33,438.66,431.82,434.23,414.32,132642900
2022-02-17,443.22,446.57,436.42,437.06,417.02,102259100
2022-02-16,443.93,448.06,441.94,446.6,426.13,84863600
2022-02-15,443.73,446.28,443.18,446.1,425.65,88482700
2022-02-14,439.92,441.6,435.34,439.02,418.89,123006300
2022-02-11,449.41,451.61,438.94,440.46,420.27,153214600
2022-02-10,451.34,457.71,447.2,449.32,428.72,140103700
2022-02-09,455.22,457.88,455.01,457.54,436.57,92589900
2022-02-08,446.73,451.92,445.22,450.94,430.27,81012000
2022-02-07,449.51,450.99,445.85,447.26,426.76,84472900
2022-02-04,446.35,452.78,443.83,448.7,428.13,118454400
2022-02-03,450.95,452.97,445.71,446.6,426.13,118024400
2022-02-02,455.5,458.12,453.05,457.35,436.38,117361000
2022-02-01,450.68,453.63,446.94,452.95,432.19,123155400
2022-01-31,441.24,450.28,439.81,449.91,429.28,152251400
2022-01-28,432.68,442,427.82,441.95,421.69,164457400
2022-01-27,438.26,441.59,429.45,431.24,411.47,149878300
2022-01-26,440.72,444.04,428.86,433.38,413.51,186391100
2022-01-25,433.06,439.72,427.15,434.47,414.55,167997300
2022-01-24,432.03,440.38,420.76,439.84,419.68,251783900
2022-01-21,445.56,448.06,437.95,437.98,417.9,202271200
2022-01-20,453.75,458.74,444.5,446.75,426.27,122379700
2022-01-19,458.13,459.61,451.46,451.75,431.04,109357600
2022-01-18,459.74,459.96,455.31,456.49,435.56,109709100
2022-01-14,461.19,465.09,459.9,464.72,443.42,95890900
2022-01-13,472.19,472.88,463.44,464.53,443.23,91173100
2022-01-12,471.59,473.2,468.94,471.02,449.43,67605400
2022-01-11,465.23,469.85,462.05,469.75,448.22,74303100
2022-01-10,462.7,465.74,456.6,465.51,444.17,119362000
2022-01-07,467.95,469.2,464.65,466.09,444.72,85111600
2022-01-06,467.89,470.82,465.43,467.94,446.49,86858900
2022-01-05,477.16,477.98,468.28,468.38,446.91,104538900
2022-01-04,479.22,479.98,475.58,477.55,455.66,71178700
2022-01-03,476.3,477.85,473.85,477.71,455.81,72668200
2021-12-31,475.64,476.86,474.67,474.96,453.19,65237400
2021-12-30,477.93,479,475.67,476.16,454.33,55329000
2021-12-29,476.98,478.56,475.92,477.48,455.59,54503000
2021-12-28,477.72,478.81,476.06,476.87,455.01,47274600
2021-12-27,472.06,477.31,472.01,477.26,455.38,56808600
2021-12-23,468.75,472.19,468.64,470.6,449.03,56439700
2021-12-22,462.79,467.81,462.58,467.69,446.25,58890200
2021-12-21,458.61,463.21,456.31,463.06,441.83,69806300
2021-12-20,454.48,455.4,451.14,454.98,434.12,107134800
2021-12-17,1.63 Dividend,,,,,
2021-12-17,461.55,464.74,458.06,459.87,438.79,135511600
2021-12-16,472.57,472.87,464.8,466.45,443.51,116568600
