Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed
2019-10-31,197.56,197.65,195.94,197.08,190.44,26801800.0,185.87849999999997,189.2668,0.0004728132387707973,63.90944497970487,1.9641247575379168,1.4522309398188524,1,2.8899999999999864,-0.0024228555086612813,0.2314570190633285,0,0.22399233528664692,0.1029323117952679,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-01,197.93,198.88,197.63,198.87,192.17,22131900.0,186.3645,189.2668,0.009084226002940454,67.22622749802171,2.147697116942055,1.591324175243493,1,3.1299999999999955,0.014413714530736144,-0.17423829742778474,0,0.2278469731066598,0.07855996534564329,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-04,200.19,200.53,198.87,200.1,193.35,19015900.0,186.93749999999997,189.2668,0.006140396523911074,69.29875369235302,2.3611774883619034,1.745294837867175,1,2.4399999999999977,0.015697435765622325,-0.14079225010053364,0,0.2304761480359172,0.06229746903158295,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-05,200.35,200.55,199.55,200.21,193.46,15048900.0,187.652,189.2668,0.0005689164727178397,69.4924300329136,2.5103011128263404,1.8982960928590082,0,4.030000000000001,0.015793538999569368,-0.20861489595548988,0,0.23072124061406835,0.041593578505948386,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-06,199.98,200.0,198.79,199.76,193.03,19725500.0,188.2575,189.2668,-0.0022226816913056835,67.69465478596825,2.564226446947174,2.0314821636766416,1,2.680000000000007,0.00448663130532323,0.3107602549023516,0,0.22976315144493215,0.06600089245406601,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-07,200.76,201.72,199.85,200.43,193.67,17832400.0,188.825,189.2668,0.003315546806195835,68.98089863727292,2.628307817589473,2.150847294459208,1,3.2299999999999898,0.001661781587607991,-0.0959722187016806,0,0.2311891446269022,0.05612074746942301,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-08,200.07,201.25,199.54,201.23,194.45,15258800.0,189.314,189.2668,0.004027469406722828,70.5213764195771,2.710784016040378,2.262834638775442,0,2.280000000000001,0.005120334521612979,-0.14432157197012185,0,0.23292707381742828,0.04268905282440835,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-11,200.21,201.04,199.94,200.96,194.19,10147600.0,189.791,189.2668,-0.0013371046541527098,69.28617930316398,2.723769253960171,2.355021561812388,1,0.8400000000000034,0.006005911558765953,-0.3349673630953941,0,0.23234776408725294,0.01601354860090863,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-12,201.13,202.21,200.82,201.54,194.75,14778300.0,190.1785,189.2668,0.002883773623770569,70.48527433141916,2.747575132627105,2.4335322759753315,1,1.289999999999992,0.005574138376340687,0.456334502739564,0,0.23359550812147678,0.04018130908920105,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-13,200.84,201.78,200.71,201.59,194.79,15774600.0,190.5915,189.2668,0.00020539152759946333,70.57364596053708,2.7381059477351073,2.4944470103272867,0,1.759999999999991,0.0017520604972173226,0.06741641460790482,0,0.2336846326953499,0.045381028305407176,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-14,200.83,201.56,200.22,201.43,194.64,16945400.0,190.972,189.2668,-0.000770060064685052,69.73048066980937,2.6875177721332477,2.5330611626884787,1,0.9699999999999989,0.0023191050866849805,0.07422058245533969,0,0.23335041554332564,0.05149146819131918,0,1,0,0,0,0,0,0,0,0,0,0
2019-11-15,202.65,202.91,202.0,202.91,196.07,18427900.0,191.514,189.2668,0.007346896835182859,73.03765636169263,2.7313302525348604,2.572714980657755,1,1.6200000000000045,0.00678222829809727,0.08748686959292784,0,0.23653661905929008,0.05922867961159982,0,1,0,0,0,0,0,0,0,0,0,0
