Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed
2015-02-06,206.56,207.24,204.92,205.55,172.18,125672000.0,169.997,172.55380000000002,-0.0027222704894295235,54.97519865669931,0.1631568660847904,1.024884813884194,0,5.110000000000014,0.0035520079181412534,0.28298003536382677,0,0.03485354912481309,0.21644263362563487,0,1,0,0,1,1,0,0,0,0,0,0
2015-02-09,204.77,205.64,204.14,204.63,171.41,87219000.0,170.013,172.55380000000002,-0.004472064118945296,52.53012854831529,0.1631568660847904,1.024884813884194,1,2.2700000000000102,0.0028682641162492972,-0.3059790565917627,0,0.033160348315595,0.1374795343409293,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-10,205.88,207.12,204.68,206.81,173.23,96164200.0,170.187,172.55380000000002,0.01061781693016739,57.357717633785775,0.3487429871683787,1.024884813884194,1,1.6499999999999773,0.0034234823217925703,0.10256022196998371,0,0.03716245931920131,0.15584847085359535,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-11,206.61,207.45,205.83,206.93,173.33,91087800.0,170.39000000000001,172.55380000000002,0.0005772672169948034,57.61278822345541,0.4981481477077523,1.024884813884194,1,2.4000000000000057,0.006723020028216897,-0.052788875693865256,0,0.03738235552819069,0.1454241014361538,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-12,207.89,208.99,206.97,208.92,175.0,97545900.0,170.72750000000002,172.55380000000002,0.009634800669243493,61.729797617465074,0.7427459441678366,1.024884813884194,1,2.3499999999999943,0.020829884816405686,0.07089972531996591,0,0.041054622218312964,0.1586857869090833,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-13,209.07,209.84,208.76,209.78,175.72,93670400.0,171.17800000000003,172.55380000000002,0.004114285714285737,63.38119606480538,0.9833539505776514,1.024884813884194,1,3.539999999999992,0.014326353600524033,-0.03973001428045664,0,0.04263787492303628,0.15072746138759274,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-17,209.4,210.32,209.1,210.11,176.0,76968200.0,171.5335,172.55380000000002,0.0015934441156384427,64.03121660439932,1.1829943664191944,1.024884813884194,1,4.590000000000003,0.015342530499167673,-0.17830819554523092,0,0.04325358430820653,0.11642955285319986,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-18,209.66,210.22,209.34,210.13,176.01,80652900.0,171.8715,172.55380000000002,5.681818181813014e-05,64.05575685087237,1.3267241011506883,1.024884813884194,0,2.780000000000001,0.00576454801174231,0.04787301768782437,0,0.043275573929105415,0.1239960712505773,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-19,209.41,210.42,209.24,209.98,175.89,91462500.0,172.1605,172.55380000000002,-0.0006817794443497727,63.49591560547589,1.4146408551295053,1.024884813884194,1,2.559999999999974,0.0009684828531068002,0.13402617884787782,0,0.043011698478318205,0.14619354655882252,0,1,0,0,0,1,0,0,0,0,0,0
2015-02-20,209.48,211.33,208.73,211.24,176.94,140896400.0,172.3755,172.55380000000002,0.005969640115981667,66.2735205125162,1.55116092328808,1.024884813884194,0,1.9399999999999977,0.0053446788534500245,0.5404827114937816,0,0.04532060867270643,0.24770588509496294,0,1,0,0,0,0,0,0,0,0,0,0
